source,target,isSourceSelected,isTargetSelected,frequency
adobo,cayenne,0,0,4.0
adobo,celery,0,0,14.0
adobo,cereal,0,0,0.0
adobo,cheese,0,0,96.0
adobo,cherry,0,0,1.0
adobo,chestnuts,0,0,0.0
adobo,chicken,0,0,16.0
adobo,chicken bouillon cube,0,0,1.0
adobo,chicken breast,0,0,6.0
adobo,chicken pieces,0,0,0.0
adobo,chicken stock,0,0,9.0
adobo,chickpeas,0,0,4.0
adobo,chile,0,0,3.0
adobo,chili,0,0,17.0
adobo,chili powder,0,0,49.0
adobo,chili sauce,0,0,3.0
adobo,chip,0,0,9.0
adobo,chives,0,0,0.0
adobo,chocolate,0,0,5.0
adobo,chops,0,0,2.0
adobo,choy,0,0,1.0
adobo,chuck,0,0,3.0
adobo,chunks,0,0,1.0
adobo,chutney,0,0,0.0
adobo,cider,0,0,1.0
adobo,cilantro,0,0,108.0
adobo,cilantro leaf,0,0,7.0
adobo,cinnamon,0,0,17.0
adobo,clams,0,0,0.0
adobo,clove,0,0,138.0
adobo,cocoa,0,0,0.0
adobo,cocoa powder,0,0,1.0
adobo,coconut,0,0,0.0
adobo,coffee,0,0,2.0
adobo,concentrate,0,0,2.0
adobo,condensed cream of chicken soup,0,0,2.0
adobo,condensed cream of mushroom soup,0,0,1.0
adobo,cooked chicken breast,0,0,1.0
adobo,cookies,0,0,0.0
adobo,cooking spray,0,0,4.0
adobo,coriander,0,0,9.0
adobo,coriander leaf,0,0,0.0
adobo,coriander powder,0,0,0.0
adobo,corn,0,0,27.0
adobo,corn flakes,0,0,0.0
adobo,cornflour,0,0,0.0
adobo,cornmeal,0,0,10.0
adobo,cornstarch,0,0,3.0
adobo,couscous,0,0,0.0
adobo,crabmeat,0,0,2.0
adobo,cracker,0,0,0.0
adobo,cranberries,0,0,2.0
adobo,cranberry juice,0,0,0.0
adobo,cream,0,0,2.0
adobo,cream of celery soup,0,0,0.0
adobo,cream of chicken soup,0,0,0.0
adobo,cream of mushroom soup,0,0,0.0
adobo,creamer,0,0,0.0
adobo,creole seasoning,0,0,2.0
adobo,crisco,0,0,0.0
adobo,crumb,0,0,0.0
adobo,crushed red pepper flakes,0,0,3.0
adobo,cucumber,0,0,4.0
adobo,cumin,0,0,96.0
adobo,cumin powder,0,0,3.0
adobo,currants,0,0,0.0
adobo,curry powder,0,0,1.0
adobo,dates,0,0,0.0
adobo,dill,0,0,0.0
adobo,dogs,0,0,0.0
adobo,dough,0,0,2.0
adobo,dried italian seasoning,0,0,0.0
adobo,dried onion flakes,0,0,1.0
adobo,dried oregano leaf,0,0,0.0
adobo,dried parsley flakes,0,0,0.0
adobo,dried thyme leaf,0,0,0.0
adobo,dry onion soup mix,0,0,0.0
adobo,egg,0,0,21.0
adobo,egg substitute,0,0,0.0
adobo,egg white,0,0,0.0
adobo,eggplant,0,0,0.0
adobo,enchilada sauce,0,0,0.0
adobo,espresso,0,0,0.0
adobo,fat,0,0,0.0
adobo,fat free sour cream,0,0,1.0
adobo,feta,0,0,1.0
adobo,fettuccine,0,0,1.0
adobo,fillet,0,0,5.0
adobo,filling,0,0,0.0
adobo,fish sauce,0,0,0.0
adobo,floret,0,0,0.0
adobo,flour,0,0,21.0
adobo,fraiche,0,0,3.0
adobo,fresh basil leaf,0,0,1.0
adobo,fresh cilantro leaf,0,0,10.0
adobo,fresh lemon juice,0,0,5.0
adobo,fresh lemon rind,0,0,0.0
adobo,fresh lime juice,0,0,33.0
adobo,fresh mint leaf,0,0,0.0
adobo,fresh orange juice,0,0,2.0
adobo,fresh parsley leaf,0,0,0.0
adobo,fresh thyme leave,0,0,0.0
adobo,frosting,0,0,0.0
adobo,frozen whipped topping,0,0,0.0
adobo,fruit,0,0,0.0
adobo,garlic,0,0,57.0
adobo,garlic powder,0,0,14.0
adobo,gelatin,0,0,0.0
adobo,ghee,0,0,0.0
adobo,ginger,0,0,7.0
adobo,gingerroot,0,0,0.0
adobo,gorgonzola,0,0,0.0
adobo,graham cracker crumbs,0,0,0.0
adobo,granular,0,0,0.0
adobo,granules,0,0,1.0
adobo,grapes,0,0,0.0
adobo,gravy,0,0,0.0
adobo,green food coloring,0,0,0.0
adobo,greens,0,0,1.0
adobo,grenadine,0,0,0.0
adobo,guacamole,0,0,2.0
adobo,gum,0,0,0.0
adobo,half-and-half,0,0,5.0
adobo,half-and-half cream,0,0,0.0
adobo,halves,0,0,7.0
adobo,ham,0,0,1.0
adobo,hamburger,0,0,1.0
adobo,hazelnuts,0,0,0.0
adobo,heavy cream,0,0,11.0
adobo,heavy whipping cream,0,0,0.0
adobo,herbs,0,0,0.0
adobo,hoisin sauce,0,0,1.0
adobo,honey,0,0,48.0
adobo,horseradish,0,0,1.0
adobo,hot pepper sauce,0,0,0.0
adobo,hot sauce,0,0,5.0
adobo,ice,0,0,0.0
adobo,ice cube,0,0,1.0
adobo,italian dressing,0,0,0.0
adobo,italian salad dressing,0,0,0.0
adobo,italian seasoning,0,0,1.0
adobo,jalapeno,0,0,17.0
adobo,jam,0,0,0.0
adobo,jelly,0,0,1.0
adobo,juice,0,0,16.0
adobo,kahlua,0,0,0.0
adobo,kale,0,0,0.0
adobo,ketchup,0,0,18.0
adobo,kielbasa,0,0,2.0
adobo,krispies,0,0,0.0
adobo,lamb,0,0,0.0
adobo,lard,0,0,1.0
adobo,leek,0,0,4.0
adobo,lemon,0,0,3.0
adobo,lemon extract,0,0,0.0
adobo,lemon juice,0,0,5.0
adobo,lemon peel,0,0,0.0
adobo,lemon rind,0,0,0.0
adobo,lemon slice,0,0,0.0
adobo,lemongrass,0,0,0.0
adobo,lentils,0,0,0.0
adobo,lettuce,0,0,18.0
adobo,lettuce leaf,0,0,4.0
adobo,light cream,0,0,0.0
adobo,light sour cream,0,0,1.0
adobo,light soy sauce,0,0,0.0
adobo,lime,0,0,37.0
adobo,lime juice,0,0,31.0
adobo,linguine,0,0,1.0
adobo,liqueur,0,0,1.0
adobo,liquid smoke,0,0,7.0
adobo,loin,0,0,1.0
adobo,low sodium soy sauce,0,0,0.0
adobo,low-fat sour cream,0,0,1.0
adobo,macaroni,0,0,3.0
adobo,mace,0,0,0.0
adobo,mango,0,0,2.0
adobo,mangoes,0,0,0.0
adobo,margarine,0,0,2.0
adobo,marinara sauce,0,0,0.0
adobo,marinated artichoke hearts,0,0,0.0
adobo,marjoram,0,0,0.0
adobo,marmalade,0,0,5.0
adobo,marnier,0,0,0.0
adobo,marshmallows,0,0,0.0
adobo,masala,0,0,0.0
adobo,mayonnaise,0,0,48.0
adobo,meat,0,0,1.0
adobo,milk,0,0,17.0
adobo,mint,0,0,1.0
adobo,mint leaf,0,0,0.0
adobo,mirin,0,0,0.0
adobo,molasses,0,0,12.0
adobo,mushroom,0,0,10.0
adobo,mustard,0,0,32.0
adobo,mustard powder,0,0,3.0
adobo,nectar,0,0,1.0
adobo,nonfat dry milk powder,0,0,0.0
adobo,nonfat sour cream,0,0,2.0
adobo,nonstick cooking spray,0,0,1.0
adobo,noodles,0,0,4.0
adobo,nutmeg,0,0,4.0
adobo,nuts,0,0,2.0
adobo,oatmeal,0,0,0.0
adobo,oats,0,0,0.0
adobo,oil,0,0,156.0
adobo,okra,0,0,0.0
adobo,old bay seasoning,0,0,1.0
adobo,olive,0,0,6.0
adobo,onion,0,0,185.0
adobo,onion powder,0,0,5.0
adobo,onion soup mix,0,0,0.0
adobo,orange,0,0,6.0
adobo,orange juice,0,0,7.0
adobo,orange peel,0,0,0.0
adobo,orange rind,0,0,2.0
adobo,oregano,0,0,41.0
adobo,oregano leaf,0,0,1.0
adobo,oyster sauce,0,0,0.0
adobo,pancetta,0,0,0.0
adobo,paprika,0,0,25.0
adobo,parsley,0,0,16.0
adobo,parsley flakes,0,0,0.0
adobo,parsnips,0,0,0.0
adobo,pasta,0,0,4.0
adobo,pasta sauce,0,0,0.0
adobo,paste,0,0,24.0
adobo,pastry,0,0,0.0
adobo,pea,0,0,2.0
adobo,peaches,0,0,3.0
adobo,peanuts,0,0,1.0
adobo,pear,0,0,0.0
adobo,pecans,0,0,5.0
adobo,pectin,0,0,1.0
adobo,penne,0,0,0.0
adobo,pepper,0,0,189.0
adobo,peppercorn,0,0,0.0
adobo,peppercorns,0,0,2.0
adobo,pepperoni,0,0,0.0
adobo,pesto sauce,0,0,0.0
adobo,pickle,0,0,0.0
adobo,pie crust,0,0,1.0
adobo,pimiento,0,0,0.0
adobo,pineapple,0,0,3.0
adobo,pineapple juice,0,0,1.0
adobo,pistachios,0,0,0.0
adobo,pizza sauce,0,0,1.0
adobo,pods,0,0,0.0
adobo,popcorn,0,0,0.0
adobo,pork,0,0,3.0
adobo,potato,0,0,30.0
adobo,poultry seasoning,0,0,0.0
adobo,prawns,0,0,0.0
adobo,preserves,0,0,3.0
adobo,prosciutto,0,0,0.0
adobo,pudding,0,0,0.0
adobo,pumpkin,0,0,2.0
adobo,pure vanilla extract,0,0,0.0
adobo,puree,0,0,4.0
adobo,quinoa,0,0,1.0
adobo,radish,0,0,3.0
adobo,raisin,0,0,3.0
adobo,ranch dressing,0,0,4.0
adobo,raspberries,0,0,3.0
adobo,red chili powder,0,0,1.0
adobo,red food coloring,0,0,0.0
adobo,red pepper flakes,0,0,5.0
adobo,reduced sodium soy sauce,0,0,0.0
adobo,refrigerated crescent dinner rolls,0,0,1.0
adobo,relish,0,0,1.0
adobo,rhubarb,0,0,0.0
adobo,rib,0,0,3.0
adobo,rice,0,0,12.0
adobo,rind,0,0,0.0
adobo,rosemary,0,0,2.0
adobo,round,0,0,1.0
adobo,rum,0,0,1.0
adobo,saffron,0,0,0.0
adobo,sage,0,0,0.0
adobo,salami,0,0,0.0
adobo,salmon,0,0,0.0
adobo,salsa,0,0,18.0
adobo,salt,0,0,182.0
adobo,sauerkraut,0,0,0.0
adobo,sausage,0,0,8.0
adobo,scallion,0,0,25.0
adobo,scallops,0,0,1.0
adobo,schnapps,0,0,0.0
adobo,seasoned bread crumbs,0,0,0.0
adobo,seasoning,0,0,1.0
adobo,sec,0,0,1.0
adobo,seed,0,0,10.0
adobo,shallot,0,0,6.0
adobo,shell,0,0,2.0
adobo,sherry,0,0,1.0
adobo,shortening,0,0,0.0
adobo,shoulder,0,0,3.0
adobo,shrimp,0,0,20.0
adobo,sirloin,0,0,1.0
adobo,skewers,0,0,2.0
adobo,skinless chicken breast,0,0,0.0
adobo,soda,0,0,3.0
adobo,sour cream,0,0,43.0
adobo,soy sauce,0,0,7.0
adobo,soymilk,0,0,0.0
adobo,spaghetti,0,0,0.0
adobo,spaghetti sauce,0,0,0.0
adobo,spears,0,0,0.0
adobo,spice,0,0,0.0
adobo,spinach,0,0,7.0
adobo,spinach leaf,0,0,0.0
adobo,splenda sugar substitute,0,0,1.0
adobo,spread,0,0,0.0
adobo,sprig,0,0,1.0
adobo,sprinkles,0,0,0.0
adobo,sprout,0,0,0.0
adobo,starch,0,0,0.0
adobo,steak,0,0,22.0
adobo,stick,0,0,0.0
adobo,strawberry,0,0,0.0
adobo,sugar,0,0,63.0
adobo,sweetener,0,0,0.0
adobo,syrup,0,0,4.0
adobo,tabasco sauce,0,0,1.0
adobo,taco seasoning,0,0,2.0
adobo,taco seasoning mix,0,0,3.0
adobo,tahini,0,0,1.0
adobo,tarragon,0,0,1.0
adobo,tartar,0,0,0.0
adobo,tea,0,0,0.0
adobo,tenderloin,0,0,6.0
adobo,tenders,0,0,2.0
adobo,tequila,0,0,7.0
adobo,teriyaki sauce,0,0,1.0
adobo,thighs,0,0,5.0
adobo,thyme,0,0,6.0
adobo,tofu,0,0,4.0
adobo,tomato,0,0,103.0
adobo,tomato juice,0,0,0.0
adobo,tomato sauce,0,0,14.0
adobo,tomato soup,0,0,0.0
adobo,tortellini,0,0,0.0
adobo,tortillas,0,0,35.0
adobo,tuna,0,0,0.0
adobo,turkey,0,0,11.0
adobo,turmeric,0,0,2.0
adobo,turmeric powder,0,0,0.0
adobo,unsweetened cocoa powder,0,0,0.0
adobo,vanilla,0,0,0.0
adobo,vanilla essence,0,0,0.0
adobo,vanilla extract,0,0,0.0
adobo,vanilla ice cream,0,0,0.0
adobo,vanilla instant pudding mix,0,0,0.0
adobo,vegetable oil cooking spray,0,0,0.0
adobo,vegetable shortening,0,0,0.0
adobo,vegetable stock,0,0,2.0
adobo,vegetables,0,0,0.0
adobo,vermouth,0,0,0.0
adobo,vinegar,0,0,62.0
adobo,vodka,0,0,1.0
adobo,wafers,0,0,0.0
adobo,walnuts,0,0,1.0
adobo,water,0,0,40.0
adobo,watermelon,0,0,1.0
adobo,wedge,0,0,6.0
adobo,weed,0,0,0.0
adobo,wheat germ,0,0,0.0
adobo,whip,0,0,0.0
adobo,whipped cream,0,0,0.0
adobo,whipped topping,0,0,0.0
adobo,whipping cream,0,0,0.0
adobo,whiskey,0,0,0.0
adobo,white cake mix,0,0,0.0
adobo,wine,0,0,11.0
adobo,wings,0,0,2.0
adobo,worcestershire sauce,0,0,19.0
adobo,wrappers,0,0,0.0
adobo,yeast,0,0,1.0
adobo,yellow cake mix,0,0,0.0
adobo,yellow squash,0,0,1.0
adobo,yogurt,0,0,4.0
adobo,yolk,0,0,0.0
adobo,zest,0,0,18.0
adobo,zucchini,0,0,9.0
ale,alfredo sauce,0,0,0.0
ale,allspice,0,0,1.0
ale,almond,0,0,0.0
ale,almond extract,0,0,3.0
ale,amaretto,0,0,0.0
ale,apple,0,0,8.0
ale,apple juice,0,0,9.0
ale,applesauce,0,0,1.0
ale,apricot,0,0,1.0
ale,artichoke hearts,0,0,0.0
ale,arugula,0,0,0.0
ale,asparagus,0,0,0.0
ale,avocado,0,0,0.0
ale,baby spinach leaf,0,0,0.0
ale,bacon,0,0,2.0
ale,bacon bits,0,0,0.0
ale,baguette,0,0,0.0
ale,baking powder,0,0,4.0
ale,banana,0,0,1.0
ale,barbecue sauce,0,0,3.0
ale,barley,0,0,0.0
ale,basil,0,0,0.0
ale,basil leaf,0,0,0.0
ale,bay leaf,0,0,3.0
ale,bean,0,0,1.0
ale,beef,0,0,8.0
ale,beef bouillon cube,0,0,1.0
ale,beef stock,0,0,2.0
ale,beer,0,0,2.0
ale,beets,0,0,0.0
ale,berries,0,0,1.0
ale,biscuits,0,0,0.0
ale,bisquick,0,0,0.0
ale,bisquick baking mix,0,0,0.0
ale,blackberries,0,0,1.0
ale,blueberries,0,0,2.0
ale,boneless chicken breast,0,0,1.0
ale,boneless skinless chicken breast,0,0,1.0
ale,bouillon,0,0,0.0
ale,bourbon,0,0,2.0
ale,bran,0,0,0.0
ale,brandy,0,0,5.0
ale,bread,0,0,2.0
ale,breadcrumb,0,0,1.0
ale,brisket,0,0,4.0
ale,broccoli,0,0,0.0
ale,broth,0,0,7.0
ale,browns,0,0,0.0
ale,buns,0,0,0.0
ale,butter,0,0,21.0
ale,buttermilk,0,0,1.0
ale,butternut squash,0,0,0.0
ale,cabbage,0,0,3.0
ale,cacao,0,0,0.0
ale,cajun seasoning,0,0,1.0
ale,cake,0,0,0.0
ale,candies,0,0,0.0
ale,capers,0,0,0.0
ale,capsicum,0,0,0.0
ale,cardamom,0,0,2.0
ale,carrot,0,0,7.0
ale,cashews,0,0,0.0
ale,catsup,0,0,0.0
ale,cauliflower,0,0,0.0
ale,cayenne,0,0,1.0
ale,celery,0,0,3.0
ale,cereal,0,0,0.0
ale,cheese,0,0,12.0
ale,cherry,0,0,8.0
ale,chestnuts,0,0,0.0
ale,chicken,0,0,1.0
ale,chicken bouillon cube,0,0,0.0
ale,chicken breast,0,0,1.0
ale,chicken pieces,0,0,0.0
ale,chicken stock,0,0,2.0
ale,chickpeas,0,0,0.0
ale,chile,0,0,1.0
ale,chili,0,0,0.0
ale,chili powder,0,0,3.0
ale,chili sauce,0,0,0.0
ale,chip,0,0,0.0
ale,chives,0,0,0.0
ale,chocolate,0,0,0.0
ale,chops,0,0,3.0
ale,choy,0,0,0.0
ale,chuck,0,0,0.0
ale,chunks,0,0,2.0
ale,chutney,0,0,0.0
ale,cider,0,0,9.0
ale,cilantro,0,0,2.0
ale,cilantro leaf,0,0,0.0
ale,cinnamon,0,0,9.0
ale,clams,0,0,0.0
ale,clove,0,0,24.0
ale,cocoa,0,0,0.0
ale,cocoa powder,0,0,0.0
ale,coconut,0,0,0.0
ale,coffee,0,0,1.0
ale,concentrate,0,0,25.0
ale,condensed cream of chicken soup,0,0,0.0
ale,condensed cream of mushroom soup,0,0,0.0
ale,cooked chicken breast,0,0,0.0
ale,cookies,0,0,0.0
ale,cooking spray,0,0,0.0
ale,coriander,0,0,0.0
ale,coriander leaf,0,0,0.0
ale,coriander powder,0,0,0.0
ale,corn,0,0,0.0
ale,corn flakes,0,0,0.0
ale,cornflour,0,0,2.0
ale,cornmeal,0,0,0.0
ale,cornstarch,0,0,5.0
ale,couscous,0,0,0.0
ale,crabmeat,0,0,0.0
ale,cracker,0,0,0.0
ale,cranberries,0,0,1.0
ale,cranberry juice,0,0,18.0
ale,cream,0,0,0.0
ale,cream of celery soup,0,0,0.0
ale,cream of chicken soup,0,0,0.0
ale,cream of mushroom soup,0,0,2.0
ale,creamer,0,0,0.0
ale,creole seasoning,0,0,0.0
ale,crisco,0,0,0.0
ale,crumb,0,0,0.0
ale,crushed red pepper flakes,0,0,1.0
ale,cucumber,0,0,1.0
ale,cumin,0,0,2.0
ale,cumin powder,0,0,0.0
ale,currants,0,0,0.0
ale,curry powder,0,0,0.0
ale,dates,0,0,0.0
ale,dill,0,0,1.0
ale,dogs,0,0,0.0
ale,dough,0,0,0.0
ale,dried italian seasoning,0,0,0.0
ale,dried onion flakes,0,0,0.0
ale,dried oregano leaf,0,0,1.0
ale,dried parsley flakes,0,0,0.0
ale,dried thyme leaf,0,0,0.0
ale,dry onion soup mix,0,0,2.0
ale,egg,0,0,4.0
ale,egg substitute,0,0,0.0
ale,egg white,0,0,1.0
ale,eggplant,0,0,0.0
ale,enchilada sauce,0,0,0.0
ale,espresso,0,0,0.0
ale,fat,0,0,0.0
ale,fat free sour cream,0,0,0.0
ale,feta,0,0,0.0
ale,fettuccine,0,0,0.0
ale,fillet,0,0,2.0
ale,filling,0,0,0.0
ale,fish sauce,0,0,0.0
ale,floret,0,0,0.0
ale,flour,0,0,23.0
ale,fraiche,0,0,0.0
ale,fresh basil leaf,0,0,0.0
ale,fresh cilantro leaf,0,0,0.0
ale,fresh lemon juice,0,0,3.0
ale,fresh lemon rind,0,0,0.0
ale,fresh lime juice,0,0,5.0
ale,fresh mint leaf,0,0,2.0
ale,fresh orange juice,0,0,2.0
ale,fresh parsley leaf,0,0,0.0
ale,fresh thyme leave,0,0,0.0
ale,frosting,0,0,0.0
ale,frozen whipped topping,0,0,0.0
ale,fruit,0,0,2.0
ale,garlic,0,0,4.0
ale,garlic powder,0,0,2.0
ale,gelatin,0,0,10.0
ale,ghee,0,0,0.0
ale,ginger,0,0,19.0
ale,gingerroot,0,0,5.0
ale,gorgonzola,0,0,0.0
ale,graham cracker crumbs,0,0,0.0
ale,granular,0,0,0.0
ale,granules,0,0,1.0
ale,grapes,0,0,1.0
ale,gravy,0,0,0.0
ale,green food coloring,0,0,0.0
ale,greens,0,0,0.0
ale,grenadine,0,0,8.0
ale,guacamole,0,0,0.0
ale,gum,0,0,0.0
ale,half-and-half,0,0,1.0
ale,half-and-half cream,0,0,1.0
ale,halves,0,0,2.0
ale,ham,0,0,5.0
ale,hamburger,0,0,0.0
ale,hazelnuts,0,0,0.0
ale,heavy cream,0,0,4.0
ale,heavy whipping cream,0,0,1.0
ale,herbs,0,0,1.0
ale,hoisin sauce,0,0,1.0
ale,honey,0,0,6.0
ale,horseradish,0,0,2.0
ale,hot pepper sauce,0,0,0.0
ale,hot sauce,0,0,1.0
ale,ice,0,0,16.0
ale,ice cube,0,0,15.0
ale,italian dressing,0,0,0.0
ale,italian salad dressing,0,0,0.0
ale,italian seasoning,0,0,0.0
ale,jalapeno,0,0,2.0
ale,jam,0,0,0.0
ale,jelly,0,0,1.0
ale,juice,0,0,2.0
ale,kahlua,0,0,0.0
ale,kale,0,0,0.0
ale,ketchup,0,0,5.0
ale,kielbasa,0,0,1.0
ale,krispies,0,0,0.0
ale,lamb,0,0,0.0
ale,lard,0,0,0.0
ale,leek,0,0,2.0
ale,lemon,0,0,11.0
ale,lemon extract,0,0,0.0
ale,lemon juice,0,0,34.0
ale,lemon peel,0,0,0.0
ale,lemon rind,0,0,0.0
ale,lemon slice,0,0,4.0
ale,lemongrass,0,0,0.0
ale,lentils,0,0,0.0
ale,lettuce,0,0,0.0
ale,lettuce leaf,0,0,0.0
ale,light cream,0,0,0.0
ale,light sour cream,0,0,0.0
ale,light soy sauce,0,0,0.0
ale,lime,0,0,8.0
ale,lime juice,0,0,4.0
ale,linguine,0,0,0.0
ale,liqueur,0,0,4.0
ale,liquid smoke,0,0,0.0
ale,loin,0,0,1.0
ale,low sodium soy sauce,0,0,0.0
ale,low-fat sour cream,0,0,0.0
ale,macaroni,0,0,0.0
ale,mace,0,0,1.0
ale,mango,0,0,1.0
ale,mangoes,0,0,2.0
ale,margarine,0,0,0.0
ale,marinara sauce,0,0,0.0
ale,marinated artichoke hearts,0,0,0.0
ale,marjoram,0,0,1.0
ale,marmalade,0,0,2.0
ale,marnier,0,0,1.0
ale,marshmallows,0,0,1.0
ale,masala,0,0,0.0
ale,mayonnaise,0,0,1.0
ale,meat,0,0,0.0
ale,milk,0,0,5.0
ale,mint,0,0,2.0
ale,mint leaf,0,0,3.0
ale,mirin,0,0,0.0
ale,molasses,0,0,2.0
ale,mushroom,0,0,6.0
ale,mustard,0,0,23.0
ale,mustard powder,0,0,0.0
ale,nectar,0,0,13.0
ale,nonfat dry milk powder,0,0,1.0
ale,nonfat sour cream,0,0,0.0
ale,nonstick cooking spray,0,0,0.0
ale,noodles,0,0,2.0
ale,nutmeg,0,0,2.0
ale,nuts,0,0,0.0
ale,oatmeal,0,0,1.0
ale,oats,0,0,0.0
ale,oil,0,0,28.0
ale,okra,0,0,0.0
ale,old bay seasoning,0,0,0.0
ale,olive,0,0,2.0
ale,onion,0,0,27.0
ale,onion powder,0,0,0.0
ale,onion soup mix,0,0,1.0
ale,orange,0,0,19.0
ale,orange juice,0,0,39.0
ale,orange peel,0,0,1.0
ale,orange rind,0,0,0.0
ale,oregano,0,0,1.0
ale,oregano leaf,0,0,0.0
ale,oyster sauce,0,0,0.0
ale,pancetta,0,0,0.0
ale,paprika,0,0,4.0
ale,parsley,0,0,6.0
ale,parsley flakes,0,0,0.0
ale,parsnips,0,0,0.0
ale,pasta,0,0,0.0
ale,pasta sauce,0,0,0.0
ale,paste,0,0,2.0
ale,pastry,0,0,1.0
ale,pea,0,0,0.0
ale,peaches,0,0,4.0
ale,peanuts,0,0,0.0
ale,pear,0,0,0.0
ale,pecans,0,0,1.0
ale,pectin,0,0,0.0
ale,penne,0,0,0.0
ale,pepper,0,0,32.0
ale,peppercorn,0,0,2.0
ale,peppercorns,0,0,0.0
ale,pepperoni,0,0,0.0
ale,pesto sauce,0,0,0.0
ale,pickle,0,0,0.0
ale,pie crust,0,0,0.0
ale,pimiento,0,0,0.0
ale,pineapple,0,0,5.0
ale,pineapple juice,0,0,33.0
ale,pistachios,0,0,0.0
ale,pizza sauce,0,0,0.0
ale,pods,0,0,0.0
ale,popcorn,0,0,0.0
ale,pork,0,0,0.0
ale,potato,0,0,10.0
ale,poultry seasoning,0,0,0.0
ale,prawns,0,0,0.0
ale,preserves,0,0,0.0
ale,prosciutto,0,0,0.0
ale,pudding,0,0,0.0
ale,pumpkin,0,0,2.0
ale,pure vanilla extract,0,0,0.0
ale,puree,0,0,2.0
ale,quinoa,0,0,0.0
ale,radish,0,0,1.0
ale,raisin,0,0,1.0
ale,ranch dressing,0,0,0.0
ale,raspberries,0,0,3.0
ale,red chili powder,0,0,0.0
ale,red food coloring,0,0,1.0
ale,red pepper flakes,0,0,0.0
ale,reduced sodium soy sauce,0,0,0.0
ale,refrigerated crescent dinner rolls,0,0,0.0
ale,relish,0,0,0.0
ale,rhubarb,0,0,4.0
ale,rib,0,0,6.0
ale,rice,0,0,0.0
ale,rind,0,0,0.0
ale,rosemary,0,0,2.0
ale,round,0,0,0.0
ale,rum,0,0,11.0
ale,saffron,0,0,0.0
ale,sage,0,0,0.0
ale,salami,0,0,0.0
ale,salmon,0,0,0.0
ale,salsa,0,0,0.0
ale,salt,0,0,31.0
ale,sauerkraut,0,0,1.0
ale,sausage,0,0,2.0
ale,scallion,0,0,1.0
ale,scallops,0,0,0.0
ale,schnapps,0,0,6.0
ale,seasoned bread crumbs,0,0,0.0
ale,seasoning,0,0,1.0
ale,sec,0,0,3.0
ale,seed,0,0,4.0
ale,shallot,0,0,2.0
ale,shell,0,0,1.0
ale,sherry,0,0,0.0
ale,shortening,0,0,1.0
ale,shoulder,0,0,0.0
ale,shrimp,0,0,2.0
ale,sirloin,0,0,0.0
ale,skewers,0,0,0.0
ale,skinless chicken breast,0,0,0.0
ale,soda,0,0,5.0
ale,sour cream,0,0,3.0
ale,soy sauce,0,0,3.0
ale,soymilk,0,0,0.0
ale,spaghetti,0,0,0.0
ale,spaghetti sauce,0,0,0.0
ale,spears,0,0,0.0
ale,spice,0,0,2.0
ale,spinach,0,0,1.0
ale,spinach leaf,0,0,0.0
ale,splenda sugar substitute,0,0,0.0
ale,spread,0,0,0.0
ale,sprig,0,0,5.0
ale,sprinkles,0,0,0.0
ale,sprout,0,0,0.0
ale,starch,0,0,0.0
ale,steak,0,0,8.0
